,CLUES ORIGEN,CLUES DESTINO,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,ASIMS000185,ASSSA000960,54.8 km,54833,52 mins,3133
1,ASIMS000185,BCIMS000460,"2,248 km",2248077,23 hours 52 mins,85935
2,ASIMS000185,GTSSA016580,209 km,209454,2 hours 18 mins,8265
3,ASIMS000185,SRSSA017655,"1,246 km",1245712,14 hours 6 mins,50783
4,ASIMS000185,TCIMS000401,"1,226 km",1226458,13 hours 30 mins,48582
5,ASIMS000185,TSSSA017791,499 km,499373,6 hours 0 mins,21629
6,ASIMS000185,TSSSA017803,508 km,508237,6 hours 8 mins,22085
7,ASIMS000185,YNSSA013580,"1,772 km",1771573,20 hours 44 mins,74636
8,ASIMS000185,ZSIMS000440,145 km,145358,2 hours 4 mins,7419
9,ASIMS000185,ZSSSA012504,118 km,118321,1 hour 41 mins,6079
